name,lon,lat,category,road,suburb,city_district,town,city,state,postcode,country,operator,ref,public_transport,station,wheelchair,network
Jeti Sg Bilah,102.6715655,2.1771725,ferry_terminal,Jalan Sungai Bilah,,,Bukit Gambir,,Johor,"84800",Malaysia,,,,,,
KA07 Kepong Sentral,101.6285344,3.2087148,station,Jalan Mahogani SD 1/6,Bandar Sri Damansara,,,Petaling Jaya,Selangor,"52200",Malaysia,KTM,KA07,station,train,yes,
Kluang Airstrip,103.306972,2.0407503,aerodrome,Jalan Sejahtera,,,,Kluang,Johor,"86000",Malaysia,Malaysian Army Airwing,,,,,
,103.4438177,1.3256822,taxi,"95",,,Kukup,,Johor,"82300",Malaysia,,,,,,
Pulau Tioman (Jeti Genting),104.121236,2.7615287,ferry_terminal,Batu Permata,,,,Tioman,Pahang,,Malaysia,,,station,,,
Pulau Tioman (Tekek),104.1568802,2.8202774,ferry_terminal,Jeti Penumpang Kampung Tekek,,,Kampung Tekek,Tioman,Pahang,,Malaysia,,,station,,,
,102.5051592,2.12298,bus_station,Lebuh AMJ,,,,,Johor,"77400",Malaysia,,,station,,,
Jeti Tg Selabu,102.6006766,2.1491007,ferry_terminal,,,,,,Johor,"84410",Malaysia,,,,,,
Jeti Sabak Awor,102.5611611,2.0703571,pier,Jalan Ayu 1/1,,,,Muar,Johor,"84000",Malaysia,,,,,,
Jeti Sg Rambai,102.6656539,2.1754324,ferry_terminal,Jalan Sungai Rambai,,,Bukit Gambir,,Johor,"84800",Malaysia,,,,,,
Jeti Ke Pulau Besar,102.3363656,2.1566059,pier,Jalan Melaka - Muar,,,,Bandaraya Melaka,Melaka,"75450",Malaysia,,,,,,
,115.2409986,5.2782849,taxi,Jalan Bunga Raya,,,,Bandar Victoria,Labuan,"87009",Malaysia,,,,,,
Jeti Kg Brohol,102.7350552,2.1806695,pier,Jalan Kampung Brohol,,,,,Johor,"84600",Malaysia,,,,,,
Jeti Lanadron,102.734793,2.1806657,pier,Jalan Kampung Brohol,,,,,Johor,"84600",Malaysia,,,,,,
Jeti Pekan Panchor,102.712603,2.1731979,pier,Jalan Abdullah,,,,,Johor,"84500",Malaysia,,,,,,
Jeti Panchor,102.7110255,2.1730702,pier,Jalan Abdullah,,,,,Johor,"84500",Malaysia,,,,,,
Kempas Baru,103.7234005,1.5356045,station,Jalan Permatang 9,,,,Johor Bahru,Johor,"81200",Malaysia,KTM,,station,train,yes,
Jeti Parit Simen,102.8286064,1.8549356,pier,,,,,,Johor,,Malaysia,,,,,,
Jeti Batu 12,101.8848174,2.4185197,pier,Lorong Seri Pelandok 4,Teluk Pelanduk,,,,Negeri Sembilan,"71050",Malaysia,,,,,,
Jeti Nelayan Jeram,101.3050321,3.2256024,pier,Jalan Jati,,,,,Selangor,"45000",Malaysia,,,,,,
Jeti Liang Batu,102.7732681,2.2345811,ferry_terminal,,,,,,Johor,"84040",Malaysia,,,station,,,
,104.061358,2.2315123,ferry_terminal,,,,,,Johor,,Malaysia,,,station,,,
,104.1582459,2.8415597,ferry_terminal,Ferry Pier,,,Kampung Tekek,Tioman,Pahang,,Malaysia,,,station,,,
Bukit Panau,102.157294,5.8911162,station,D190,,,,,Kelantan,"17060",Malaysia,Keretapi Tanah Melayu,,station,,,KTM Intercity
Pasir Mas,102.1423693,6.0427091,station,Jalan JKR,,,Pasir Mas,,Kelantan,"17000",Malaysia,Keretapi Tanah Melayu,,station,train,yes,KTM Intercity
Jeti Pulau Pangkor,100.577419,4.2132142,ferry_terminal,A205,,,,,Perak,"32300",Malaysia,,,stop_position,,,
,100.5760794,4.2264019,ferry_terminal,A205,,,,,Perak,"32300",Malaysia,,,station,,,
Jerantut,102.3577594,3.9370934,station,Jalan Besar,,,Jerantut,,Pahang,,Malaysia,Keretapi Tanah Melayu,,station,,yes,KTM Intercity
Lower Station,100.2770747,5.4087656,station,Temple Road,Mukim 16,,,George Town,Pulau Pinang,"11060",Malaysia,,,station,,limited,
Awana Pier,99.7358808,6.2595982,ferry_terminal,Jalan Pantai Tengah,,,,,Kedah,,Malaysia,Star Cruise,,station,,,
,100.363727,5.3947201,ferry_terminal,From George Town,Bagan Dalam,,,Bandar Butterworth,Pulau Pinang,"12100",Malaysia,,,stop_position,,,
Terminal KOMTAR,100.3305863,5.4141006,bus_station,Lane 3,Central George Town,,,George Town,Pulau Pinang,"10000",Malaysia,Rapid Bus,,station,,,Rapid Penang
,100.3439786,5.4132875,ferry_terminal,Motorcylcle lane,Central George Town,,,George Town,Pulau Pinang,"10300",Malaysia,,,stop_position,,,
Langkawi,99.8491817,6.3057919,ferry_terminal,Jalan Dato Syed Omar,,,Kuah,,Kedah,,Malaysia,,,station,,,
Pangkalan Haji Omar,110.3487631,1.5581431,pier,Jalan Main Bazaar,,,,Kuching,Sarawak,"93000",Malaysia,,,,,,
Feri Batang Saribas,111.277195,1.6260888,ferry_terminal,,,,Pusa,,Sarawak,,Malaysia,,,station,,,
Jeti Pulau Besar,103.9770938,2.4307612,ferry_terminal,Batu Batu Resort,,,,,Johor,,Malaysia,,,station,,,
,102.3161552,4.0700143,ferry_terminal,"234",,,,,Pahang,"27010",Malaysia,,,station,,,
Kampung Seberang Takir Hulu,103.1355482,5.3458315,ferry_terminal,Jalan Pak Ngah Mat,,,,,Terengganu,"20000",Malaysia,,,station,,,
KL Sentral,101.6862421,3.135038,taxi,Jalan Stesen Sentral,,,,Kuala Lumpur,Kuala Lumpur,"50566",Malaysia,,,,,,
,104.0664026,2.2262149,ferry_terminal,,,,,,Johor,,Malaysia,,,station,,,
Marak Parak Airport,116.7297211,6.312222,aerodrome,Jalan Sorinsim,,,,,Sabah,,Malaysia,,,,,,
Lapangan Terbang Kapit,112.9317606,2.0102839,aerodrome,Jalan Airport,,,,Kapit,Sarawak,"96800",Malaysia,,,,,,
Kota Belud Airport,116.4710007,6.36516,aerodrome,Jalan Botong Rosok,,,,,Sabah,"89158",Malaysia,,,,,,
Lapangan Terbang Keningau,116.1650289,5.3554763,aerodrome,Jalan Liawan Airport,,,,Keningau,Sabah,"89007",Malaysia,Malaysia Airports Holdings Berhad,,,,,
Sahabat Airport,119.0940018,5.08778,aerodrome,,,,Bandar Sahabat,,Sabah,,Malaysia,,,,,,
Ranau Airport,116.6793387,5.9559637,aerodrome,Jalan Kampung SInarut,,,,,Sabah,"89307",Malaysia,Malaysia Airports,,,,,
Dungun Airport,103.3820038,4.7862902,aerodrome,T114,,,,Dungun,Terengganu,"23000",Malaysia,,,,,,
Segamat Airport,102.8399233,2.498033,aerodrome,Jalan Anggerik,,,,Segamat,Johor,"85000",Malaysia,,,,,,
Ulu Bernam Airport,101.1693187,3.7387129,aerodrome,Jalan Sabak Bernam - Hulu Selangor,,,,,Selangor,,Malaysia,,,,,,
Taxi Boats Around Islands,102.7299312,5.8956946,taxi,Jungle Trekking,,,,,Terengganu,,Malaysia,,,,,,
,102.5584017,5.8306257,ferry_terminal,Lorong Tujuh,,,Kuala Besut,,Terengganu,"22300",Malaysia,,,station,,,
Jeti Mutiara Taman Negara,102.4006847,4.3845519,ferry_terminal,FT1508,,,,,Pahang,,Malaysia,,,,,,
,102.3159087,4.0699878,ferry_terminal,"234",,,,,Pahang,"27010",Malaysia,,,station,,,
Kuala Litut,114.8375461,4.0963649,ferry_terminal,Clearwater Picnic Ground,,,Mulu,,Sarawak,"98008",Malaysia,,,,,,
,100.2076118,5.4624644,ferry_terminal,Jalan Hassan Abas,,,,George Town,Pulau Pinang,"11050",Malaysia,,,station,,,
,114.4003303,3.7722858,ferry_terminal,Long Lama - Long Bedian,,,Long Lama,,Sarawak,"98300",Malaysia,,,,,,
,114.4009714,3.7710128,ferry_terminal,,,,Long Lama,,Sarawak,"98300",Malaysia,,,,,,
,104.1556467,2.849098,ferry_terminal,Air Batang,,,,Tioman,Pahang,,Malaysia,,,station,,,
